article id	author	year	title	journal/conference/collection	abstract	reference IDs	isDHQ
elliott2007	Elliott, Tom	2007	Barrington Atlas IDs				0
elliott2008a	Elliott, Tom	2008	Constructing a Digital Publication for the Peutinger Map	Cartography in Antiquity and the Middle Ages: Fresh Perspectives, New Methods			0
elliott2008b	Elliott, Tom	2008	The Hidden Web: Don't Love It, Leave It				0
elliott2009	Elliott, Tom | Gillies, Sean	2009	Digital Geography and Classics	Digital Humanities Quarterly			1
ellis1994	Ellis, David | Furner-Hines, Jonathan | Willett, Peter	1994	On the Creation of Hypertext Documents: Measurement of Inter-Linker Consistency	Journal of Documentation			0
ellsworth2004	Ellsworth, Michael | Erk, Katrin | Kingsbury, Paul | Pado, Sebastian	2004	PropBank, SALSA, and FrameNet: How Design Determines Product	Proceedings of the LREC 2004 Workshop on Building Lexical Resources from Semantically Annotated Corpora			0
ellul1964	Ellul, Jacques	1964	The Technological Society				0
eloai2010	ELO	2010	Archive & Innovate. The 4th International Conference & Festival of the Electronic Literature Organization				0
emad2006	Emad, Mitra C.	2006	Reading Wonder Woman’s Body: Mythologies of Gender and Nation.	The Journal of Popular Culture			0
emerson1971	Emerson, Ralph Waldo	1971	The American Scholar	The Collected Works of Ralph Waldo Emerson, Volume 1: Nature, Addresses, and Lectures			0
emerson1994	Emerson, Ralph Waldo	1938	The Letters of Ralph Waldo Emerson				0
emerson2006	Emerson, Thomas | O'Neil, John	2006	Large corpus construction for chinese lexicon development	Proceedings of the 29th unicode conference			0
emersonyyy_exp	Emerson, Thomas | O'Neil, John	n.d.	Experience Building a Large Corpus for Chinese Lexicon Construction	Wacky! Working papers on the web as corpus			0
emig1971	Emig, J.	1971	The Composing Processes of Twelfth Graders				0
emmott1998	Emmott, Catherine	1998	Situated Events in Fictional Worlds: The Reader's Role in Context Construction,	European Journal of English Studies			0
empyre	-empyre-	n.d.	About -empyre				0
emsley2013	Emsley, Clive | Hitchcock, Tim | Shoemaker, Robert	2013	Old Bailey Online - Copyright Information and Citation Guide.	Old Bailey Proceedings Online.			0
engberg2007	Engberg, Maria	2007	Born Digital: Writing Poetry in the Age of New Media	Uppsala University			0
engelbart1962	Englebart, D.	1962	Augmenting Human Intellect: A Conceptual Framework				0
engelbart1963	Engelbart, D. C.	1963	A conceptual framework for the augmentation of man's intellect	The Augmentation of Man's Intellect by Machine			0
english2005	English, J.F.	2005	The Economy of Prestige: Prizes, Awards, and the Circulation of Cultural Value				0
enguehard1994	Enguehard, C. | Pantera, L.	1994	Automatic Natural Acquisition of a Terminology	Journal of Quantitative Linguistics			0
enniss1990	Enniss, Stephen C.	1990	Alienation and Affirmation: The Divided Self in Sherwood Anderson’s Poor White.	South Atlantic Review			0
enos2002	Enos, Frank | Hirschberg, Julia	2002	A framework for eliciting emotional speech: Capitalizing on the actor’s process	1st International Workshop on Emotion: Corpora for Research on Emotion and Affect			0
ensmenger2010	Ensmenger, Nathan	2010	The Computer Boys Take Over: Computers, Programmers, and the Politics of Technical Expertise				0
ensslin2007	Ensslin, Astrid	2007	Canonizing Hypertext: Explorations and Constructions				0
ensslin2010	Ensslin, A.	2010	From Revisi(tati)on to Retro-Intentionalization: Hermeneutics, Multimodality and Corporeality in Hypertext, Hypermedia and Cybertext,	Reading Moving Letters: Digital Literature in Research and Teaching.			0
entman1993	Entman, Robert M.	1993	Framing: Toward Clarification of a Fractured Paradigm.	Journal of Communication			0
enzensberger1974	Enzensberger, Hans Magnus	1974	Aporias of the Avant-Garde	The Consciousness Industry; On Literature, Politics and the Media			0
ercasty1971	Sabat Ercasty, Carlos	1971	Presentación	Nicolás Guillén			0
erickson1996	Erickson, Wayne	1996	Mapping the Faerie Queene: Quest Structures and the World of the Poem				0
